pair_id	chapter	reader_label	full_label	reader_title	full_title	migration_status	proof_status	lean_status	lean_module	lean_decl	source_key	assumption_bundle	dependencies
TS-C01-WARP-CLD	1	thmstar:warp-cld	thmfull:warp-cld	Compensated demand under WARP	Finite-change and differential compensated law of demand	planned	draft_complete	external_core	Econ803.Consumer.RevealedPreference	compensated_law_of_demand	mwg1995	Single-valued demand; positive prices and wealth; Walras law; WARP; differentiability only for the local conclusion	none
TS-C02-RATIONAL-WARP	2	thmstar:rational-warp	thmfull:rational-warp	Rational choice satisfies WARP	Set-valued rational choice and WARP	planned	draft_complete	core_only	Econ803.Choice.WARP	rationalization_implies_WARP	mwg1995	Nonempty menus; choice as greatest elements; complete and transitive preference; set-valued WARP	none
TS-C03-CONTINUOUS-UTILITY	3	thmstar:continuous-utility	thmfull:continuous-utility	Continuous utility representation	Debreu representation on the commodity space	planned	delegated	none			debreu1959	Nonnegative Euclidean commodity space; total preorder; exact continuity definition	none
TS-C03-DEMAND-CONTINUITY	3	thmstar:demand-continuity	thmfull:demand-continuity	Existence and continuity of consumer demand	Berge theorem for positive-price budget sets	planned	draft_complete	planned			mwg1995	Continuous utility; nonnegative commodity space; strictly positive prices and wealth; correspondence-valued demand	none
TS-C03-CONSUMER-DUALITY	3	thmstar:consumer-duality	thmfull:consumer-duality	Consumer duality and envelope identities	Set-valued duality; Roy; Shephard; and Slutsky	planned	partial	core_only	Econ803.Consumer.Duality	hicksian_bundle_is_supergradient	mwg1995;shephard1953	Continuous locally nonsatiated preferences and positive prices; attainment; uniqueness and smoothness only where invoked	TS-C03-DEMAND-CONTINUITY
TS-C03-AFRIAT	3	thmstar:afriat	thmfull:afriat	Afriat theorem	Finite GARP and regular utility rationalization	planned	partial	external_core	Econ803.Consumer.RevealedPreference	finite_Afriat_theorem	afriat1967;varian1982	Finite observations; positive prices; nonnegative bundles; expenditure exhaustion when wealth is observed; exact strict reverse edge	TS-C02-RATIONAL-WARP
TS-C05-EU-FINITE	5	thmstar:eu-finite	thmfull:eu-finite	Finite expected-utility representation	Finite expected utility and affine uniqueness	planned	partial	planned			vonneumannmorgenstern1944	Finite nonempty prize set; lotteries; completeness; transitivity; independence; mixture continuity	none
TS-C05-FOSD	5	thmstar:fosd	thmfull:fosd	First-order stochastic dominance	General FOSD with finite-support corollary	planned	partial	core_only	Econ803.Uncertainty.FiniteDominance	monotoneCoupling_implies_expectedUtility_order	mwg1995	Ordered outcomes; measurable increasing utility; integrability; an exact strictness condition when strict inequality is claimed	none
TS-C05-RISK-DATA	5	thmstar:risk-data	thmfull:risk-data	Finite-data risk-averse expected utility	Finite inequality test for risk-data rationalization	source_gated	source_gated	none			polissonquahrenou2020	Finite states and observations; positive probabilities and prices; interior data or a separately stated boundary KKT version	none
TS-C06-GORMAN	6	thmstar:gorman	thmfull:gorman	Gorman aggregation	Common-slope aggregation and its limits	planned	draft_complete	planned			gorman1953	Differentiable indirect utilities; common positive wealth slope; Roy conditions; individual wealths sum to aggregate wealth	TS-C03-CONSUMER-DUALITY
