chapter	case_id	seed_ids	case_title	tool	scale_axis	verification
Utility Maximization and Consumer Demand	1.5	1.1, 1.4	Household demand across subsistence and discretionary regimes	Codex + Python	wealth from two hand calculations to a grid, with preferences and prices fixed	Reproduce both hand wealth levels; classify infeasible, boundary, and interior regimes separately for each model; check feasibility, budget exhaustion, and continuity at every valid threshold.
Duality, Comparative Statics, and Welfare	2.6	2.4, 2.5	Local CES and translog welfare approximation	Codex + Python	log relative-price distance from one reference price	Match the CES value, gradient, and Hessian at the reference price; enforce positive shares and negative semidefiniteness on the translog regular region; report welfare comparisons only on that region.
Revealed Preference and Recoverability	3.4	3.1, 3.3	A counterfactual demand support set	Codex + Python; Lean for candidate certificates	the number of observed budgets from two to $T$, with two goods and the counterfactual budget fixed	Recover the hand support interval and verify that added observations can only shrink it. Lean may check GARP or Afriat certificates for candidates; it does not yet certify the full support-set characterization.
Choice Without Budget Geometry	4.2	4.2	A menu-design rationality audit	Codex + Lean	the number of observed menus on the fixed set $X=\{a,b,c\}$	Recover the three-menu cycle and the one-observation repair; return an exact cycle certificate or a complete transitive rationalization. The current pairwise-WARP theorem does not exclude this three-cycle; the general checker theorem is a new target.
Expected Utility and Risk	5.4	5.3, 5.4	A multi-asset portfolio under risk	Codex + Python	the number of jointly normal risky assets from one to $K$, retaining CARA utility and unconstrained positions	Recover the one-asset formula; verify the first-order condition and concavity using the covariance matrix; report singular-covariance cases explicitly and do not add portfolio constraints silently.
Stochastic Choice and Random Utility	6.2	6.1, 6.2	Red bus, blue bus, and duplicated products	Codex + Python; Lean for the IIA core	the number of observationally identical bus labels under independent-logit shocks	Recover the one-bus and two-bus probabilities, verify that probabilities sum to one, and separate the verified logit odds result from any shared-shock comparison model.
Limited Attention and Costly Information	7.3	7.3	Paying for information before choosing	Codex + Python	the common number $N$ of equally likely states and matching actions, beginning at $N=2$	Recover the binary optimum, enforce conditional-probability and information-cost identities, and label any symmetry restriction used in the $N$-state extension. Problems 7.1 and 7.2 are comparison models, not derivations of rational inattention.
Aggregate Demand and Representative Consumers	8.3	8.1, 8.2	Aggregation when household wealth moves with prices	Codex + Python; Lean for the finite-sum core	the number of consumers, with each wealth rule and preference class fixed	Verify the finite aggregation identity and isolate every wealth-revaluation term. Do not describe the derivative or Slutsky bridge as Lean verified.
Theory of the Firm	9.4	9.1	Input substitution in a multi-input firm	Codex + Python; Lean for finite algebra	the input dimension from two to $L$, with the output target and technology family fixed	Recover the two-input cost benchmark; check Shephard derivatives, Hessian symmetry, negative semidefiniteness, and the homogeneity null direction; state the analytic assumptions not encoded in Lean.
Competitive Markets and Partial Equilibrium	10.4	1.2, 9.1, 10.1, 10.3	Music sales and concerts	Codex + Python	the music-volume or royalty share $\tau$ from the two benchmark values to a grid	Reproduce the demand and cost formulas and both endpoint comparisons; bracket every stationary point, check both price boundaries, establish the global maximizer, and keep the volume-share and royalty-share scenarios distinct.
General Equilibrium Theory	11.4	11.1, 11.4	A consumer-owned firm	Codex + Python	the production exponent from one-half to $\beta\in(0,1)$	Recover the square-root economy; verify planner and decentralized allocations coincide; check second-order conditions, profit finiteness, both market-clearing equations, and limiting behavior in $\beta$.
Positive Theory of Equilibrium	12.4	12.4	A coalition challenges a competitive allocation	Codex + Lean	the blocking predicate from all-strict improvement to weak improvement for all members and strict improvement for one witness	Compile the Lean strong-coalition price-support declaration and match each hypothesis to the economic proof. Lean verifies the finite price-summing contradiction, not the derivation of price support from Walrasian optimization or the replica-economy convergence claim. This case closes the price-support and core thread; Problems 12.2 and 12.3 are separate regularity and uniqueness extensions.
Testable Restrictions on the Equilibrium Manifold	13.3	13.1, 13.3	A counterfactual equilibrium identified set	Codex + Python	the number of equilibrium observations from two to $T$, with the maintained preference class and counterfactual fixed	Verify feasibility and market clearing for every retained candidate, show how each added observation changes the bounds, and never replace set identification by a point estimate.
Sequential Trade	14.3	14.1, 14.2	Complete versus incomplete sequential markets	Codex + Python; Lean target	the asset span from rank $S-1$ to rank $S$ at a fixed number of states	Check portfolio replication, the state-price units map, and present-value budgets; include a rank-deficient claim that cannot be implemented. Arrow-Radner equivalence remains a future Lean target.
Matching	15.3	15.3	Housing allocation and coalitional stability	Codex + Python; Lean target	the number of agents and houses from three to $n$	Recover the three-agent top-trading-cycles allocation; check permutation, individual rationality, Pareto comparisons, and coalition blocking by enumeration. Top trading cycles and housing-core claims remain future Lean targets.
Computable General Equilibrium	16.3	16.1, 16.2, 16.3	A tariff counterfactual from partial to general equilibrium	Codex + Python	model closure from fixed factor prices to one endogenous shared labor market linking import-competing and export sectors	Replicate the partial-equilibrium benchmark, then report factor-market, goods-market, trade-balance, government-budget, and welfare residuals. Identify which change comes from the single added general-equilibrium channel.
Order Theory	A.4	A.1, A.2, A.3	Finite preference completion and multiple utilities	Codex + Lean	the number $|X|$ of alternatives in a finite preorder, beginning with the hand example	Verify the preorder, quotient construction, and each proposed linear extension. Szpilrajn extension is currently verified; quotient pullback, intersection of all extensions, and the finite multiple-utility corollary remain explicit formal targets.
