symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
$L$	9019	Theory of the Firm	Production sets	yes	OK	Commodity dimension; later reused consistently as the number of goods.	$L\in\mathbb N_{>0}$ is the number of commodities; commodity indices are $\ell,k\in\{1,\dots,L\}$.	not:commodity-dimension
$y$	9020	Theory of the Firm	Production sets	yes	OK	Net-output vector; positive and negative coordinates receive an explicit sign convention.	$y\in\mathbb R^L$ is a production plan in net-output convention.	not:net-output-vector
$y_\ell>0$	9021	Theory of the Firm	Production sets	yes	OK	Positive-coordinate half of the net-output sign convention.	$y_\ell>0$ denotes output of good $\ell$.	not:net-output-positive
$y_\ell<0$	9022	Theory of the Firm	Production sets	yes	OK	Negative-coordinate half of the net-output sign convention.	$y_\ell<0$ denotes input use of good $\ell$.	not:net-output-negative
$Y$	9023	Theory of the Firm	Production sets	yes	OVERLOADED	Production set here; $Y_h$ later denotes household income in CGE.	$Y\subseteq\mathbb R^L$ is a firm's feasible production set; reserve roman income notation for households.	not:production-set
$\leq,\geq$ on vectors	9031	Theory of the Firm	Production sets	no	STANDARD	Componentwise order is used but not declared in this chapter.	For $a,b\in\mathbb R^L$, $a\leq b$ iff $a_\ell\leq b_\ell$ for every $\ell$.	not:componentwise-order
$\mathbb R_+^L,\mathbb R_{++}^L$	9034	Theory of the Firm	Production sets	no	STANDARD	Nonnegative and strictly positive orthants recur; $\gg0$ is used as a synonym for membership in the strict orthant.	$\mathbb R_+^L=\{x:x_\ell\geq0\ \forall\ell\}$ and $\mathbb R_{++}^L=\{x:x_\ell>0\ \forall\ell\}$.	not:positive-orthants
$F$	9044	Theory of the Firm	Production sets	yes	OK	Transformation function is distinct from the production function $f$.	$F:\mathbb R^L\to\mathbb R$ is a differentiable transformation function with $Y=\{y:F(y)\leq0\}$.	not:transformation-function
$\bar y$	9045	Theory of the Firm	Production sets	yes	OK	Frontier point is introduced by membership in the zero level set but the bar convention is otherwise unstated.	$\bar y\in\partial Y$ is a reference frontier plan satisfying $F(\bar y)=0$.	not:frontier-plan
$F_k$	9046	Theory of the Firm	Production sets	no	AMBIGUOUS	Subscript means a partial derivative here, but subscripts elsewhere mean coordinates or agents.	$F_k(y):=\partial F(y)/\partial y_k$; prefer $\partial_kF$.	not:transformation-partial-k
$F_\ell$	9052	Theory of the Firm	Production sets	no	AMBIGUOUS	Second partial derivative notation first appears in the slope display.	$F_\ell(y):=\partial F(y)/\partial y_\ell$; prefer $\partial_\ell F$.	not:transformation-partial-l
$M$	9069	Theory of the Firm	Production functions and input substitution	yes	OVERLOADED	Number of outputs here; later $M_i$ is an attention matrix, $M_j$ imports, $M$ the set of men, and $M(P)$ imports.	$M\in\{1,\dots,L-1\}$ is the number of outputs in this subsection only.	not:number-of-outputs
$q$ (output vector)	9071	Theory of the Firm	Production functions and input substitution	yes	OVERLOADED	Vector output here; scalar output at 9143; asset-price vector at 11331.	$q^{\mathrm{out}}\in\mathbb R_+^M$ is the output vector; in a single-output model write $q\in\mathbb R_+$.	not:firm-output
$z$ (input vector)	9072	Theory of the Firm	Production functions and input substitution	yes	CONFLICT	Input vector here; numeraire input at 9592, excess demand at 9635/10505, labor at 10031, and asset holdings at 11343.	Use $v\in\mathbb R_+^{L-M}$ for physical inputs and reserve $z$ for excess demand.	not:firm-input-vector
$f$	9074	Theory of the Firm	Production functions and input substitution	yes	OK	The text correctly restricts $f$ to the single-output case after first introducing vector output $q$.	$f:\mathbb R_+^{L-M}\to\mathbb R_+$ is a single-output production function with feasible output $q\leq f(v)$.	not:production-function
$\operatorname{MRTS}_{\ell k}$	9084	Theory of the Firm	Production functions and input substitution	yes	AMBIGUOUS	The ratio is defined, but the direction convention should be encoded in the name or glossary.	$\operatorname{MRTS}_{\ell\to k}(v):=\partial_\ell f(v)/\partial_k f(v)=-dv_k/dv_\ell$ along an isoquant.	not:mrts
$p\cdot y$	9107	Theory of the Firm	Profit maximization	no	STANDARD	Euclidean inner product is pervasive and not locally defined.	For $p,y\in\mathbb R^L$, $p\cdot y:=\sum_{\ell=1}^L p_\ell y_\ell$.	not:dot-product
$p$ (commodity-price vector)	9104	Theory of the Firm	Profit maximization	yes	OVERLOADED	Vector here; scalar output price at 9145 and in partial equilibrium; state-contingent vectors later.	$p\in\mathbb R_+^L\setminus\{0\}$ is a commodity-price vector unless a scalar model explicitly says otherwise.	not:commodity-price
$\pi(p)$	9107	Theory of the Firm	Profit maximization	yes	OK	Profit value function; later $\Pi_h$ is household profit income.	$\pi_Y(p):=\sup_{y\in Y}p\cdot y$ is the support/profit function of $Y$.	not:profit-function
$\sup$	9107	Theory of the Firm	Profit maximization	no	STANDARD	Supremum is used conventionally as a value operator.	$\sup_{a\in A}g(a)$ is the least upper bound of attainable values.	not:supremum
