symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
$L$	202	Notation and Conventions	Global conventions	same-line	OK	Later fixed chapterwise; no conflict in audited range	Number of commodities; $L\in\mathbb N_{++}$	not:commodity-count
$\ell$	207	Notation and Conventions	Global conventions	same-line	CONFLICT	Commodity index here; reused as the quadratic-loss function at line 5840	Commodity coordinate index, $\ell\in\{1,\ldots,L\}$	not:commodity-index
$\mathbb R_+^L$	212	Notation and Conventions	Global conventions	no	PARTIAL	Meaning is only inferred later from the statement that negative consumption is ruled out	Nonnegative orthant, $\{x\in\mathbb R^L:x_\ell\ge0\ \forall\ell\}$	not:nonnegative-orthant
$\mathbb R_{++}^L$	248	Notation and Conventions	Global conventions	no	PARTIAL	Strict positivity is described in prose but the $++$ convention is not formally stated	Strictly positive orthant, $\{p\in\mathbb R^L:p_\ell>0\ \forall\ell\}$	not:positive-orthant
$X$	212	Notation and Conventions	Global conventions	same-line	SCOPED	Consumption set globally; reset to an arbitrary alternative set at line 1417 and back to commodity space at line 1951	Feasible alternative set; in consumer chapters $X=\mathbb R_+^L$	not:feasible-set
$x$	212	Notation and Conventions	Global conventions	same-line	OVERLOADED	Denotes a bundle, a demand map, and a selected value of a demand correspondence	Consumption bundle; reserve $x(p,w)$ for Marshallian demand and state its type at each chapter boundary	not:consumption-bundle
$I$	220	Notation and Conventions	Global conventions	same-line	CONFLICT	Number of consumers here, symmetric relation at line 2155, identity matrix at line 5798	Number of consumers only; use $\sim_{\succeq}$ for indifference classes and $I_L$ for the identity matrix	not:consumer-count
$i$	220	Notation and Conventions	Global conventions	same-line	CONFLICT	Consumer index globally but used as a commodity coordinate in $s_{ij}$ at line 3734	Consumer index, $i\in\{1,\ldots,I\}$; use $\ell,k$ for commodities	not:consumer-index
$J,j$	225	Notation and Conventions	Global conventions	same-line	OK	No conflicting substantive use in audited range	Number of firms and firm index $j\in\{1,\ldots,J\}$	not:firm-index
$y$	235	Notation and Conventions	Global conventions	same-line	SCOPED	Production vector globally; also a generic alternative, perturbation bundle, and signal realization locally	Net-output vector in production chapters; local generic variables must be explicitly bound	not:production-vector
$\omega$	240	Notation and Conventions	Global conventions	same-line	OK	No use in audited substantive chapters after the convention	Endowment vector	not:endowment
$p$	248	Notation and Conventions	Global conventions	same-line	OK	Occasionally written $p\gg0$, whose componentwise-order convention is not defined	Strictly positive commodity-price column vector	not:price-vector
$A\setminus B$	252	Notation and Conventions	Global conventions	same-line	OK	$A$ and $B$ here are metavariables, later substantive menu and budget symbols	Set difference $\{z:z\in A,\ z\notin B\}$	not:set-difference
$\max,\min$	256	Notation and Conventions	Global conventions	same-line	OK	Typesetting convention is stated	Maximum and minimum operators	not:max-min
$w$	263	Notation and Conventions	Global conventions	same-line	CONFLICT	Wealth globally; $w_t^c,w_t^p$ denote measurement errors at lines 5048--5052	Strictly positive wealth; use $\eta_t^x,\eta_t^p$ for measurement errors	not:wealth
$B(p,w)$	268	Notation and Conventions	Global conventions	same-line	CONFLICT	Budget set; $B$ is also a group label at line 5901	Budget set $\{x\in X:p\cdot x\le w\}$; avoid $B$ as a demographic label	not:budget-set
$x(p,w)$	276	Notation and Conventions	Global conventions	same-line	PARTIAL	Called Marshallian demand before the text distinguishes functions from correspondences	Marshallian demand; a set $x(p,w)\subseteq X$ unless uniqueness is assumed, otherwise its unique element	not:marshallian-demand
$h(p,\bar u)$	281	Notation and Conventions	Global conventions	same-line	PARTIAL	Called Hicksian demand before function versus correspondence is resolved	Hicksian demand correspondence $\arg\min\{p\cdot x:u(x)\ge\bar u\}$	not:hicksian-demand
$v(p,w)$	286	Notation and Conventions	Global conventions	same-line	CONFLICT	Indirect utility globally; $v$ is reused as an arbitrary test vector at lines 3510--3514	Indirect utility $\max_{x\in B(p,w)}u(x)$; use $z$ for quadratic-form test vectors	not:indirect-utility
$e(p,\bar u)$	291	Notation and Conventions	Global conventions	same-line	OK	Formal definition appears at line 2938	Minimum expenditure required to attain utility $\bar u$	not:expenditure-function
$\cdot$	299	Notation and Conventions	Global conventions	same-line	OK	Defined as Euclidean inner product	Euclidean inner product	not:inner-product
$({\cdot})^\top$	304	Notation and Conventions	Global conventions	same-line	OK	Defined as transpose	Matrix or vector transpose	not:transpose
$'$ (prime)	310	Notation and Conventions	Global conventions	same-line	INCONSISTENT	Prime is reserved for an alternative object, but WARP uses stars for alternative price--wealth pairs at line 602	Alternative object, not transpose; replace WARP's $(p^*,w^*)$ by $(p',w')$	not:prime-alternative
$\succeq$	325	Notation and Conventions	Global conventions	same-line	OK	Formal binary-relation type appears at line 1478	Weak preference relation on the current alternative set	not:weak-preference
$\succ$	330	Notation and Conventions	Global conventions	no	PARTIAL	Named strict preference globally but formally derived only at line 1483	Asymmetric part: $x\succ y$ iff $x\succeq y$ and not $y\succeq x$	not:strict-preference
